,Brand,Name,Price,Processor_Name,Processor_Brand,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,GPU_Brand,SSD,HDD,Adapter,Battery_Life,model_name,screen_size,ram,os,customer_review
0,HP,HP Chromebook 11A-NA0002MU (2E4N0PA) Laptop (11.6 Inch | MediaTek Octa Core | 4 GB | Google Chrome |)::585119::computer::laptops,22990,MediaTek Octa-core,MediaTek,Not Expandable,4 GB , DDR4 RAM, 2.0 Ghz Processor,LED,11.6,Integrated Graphics,MediaTek,64 GB SSD Storage,No HDD,45, Upto 12 Hrs Battery Life,HP Chromebook 11A-NA0002MU,11.6,4,Chrome,"i also feel like apple hides too much under the hood from the user , but i suppose you can still work around that if you are so inclined ."
31,Lenovo,Lenovo Ideapad 3 CB 11IGL05 (82BA001PHA) Laptop (11.6 Inch | Celeron Dual Core | 4 GB | Google Chrome | 64 GB SSD)::592198::computer::laptops,18999,Intel Celeron Dual-Core,Intel,Not Expandable,4 GB LP, LPDDR4 RAM, 2.8 Ghz Processor,LED,11.6,UHD,Intel,64 GB SSD Storage,No HDD,no,Upto 10 Hrs Battery Life,Lenovo Ideapad 3 CB 11IGL05,11.6,4,Chrome,"5 ` ` ips screen that is gorgeous to look at , extremely bright and full 1080p resolution ."
32,Acer,Acer Aspire 7 A715-42G (NH.QAYSI.004) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD)::596048::computer::laptops,48990,AMD Hexa-Core Ryzen 5,AMD, 32 GB Expandable,8 GB , DDR4 RAM , 2.1 Ghz Processor,LCD,15.6,"GeForce GTX 1650 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,135,135W Adapter,Acer Aspire 7 A715-42G,15.6,8,Windows 11,"called acer support , they were completely useless ."
33,ASUS,ASUS Vivobook K513EA-L523TS Laptop (15.6 Inch | Core i5 11th Gen | 16 GB | Windows 10 | 1 TB HDD 256 GB SSD)::592298::computer::laptops,47990,Intel Core i5 (11th Gen),Intel,Not Expandable,16 GB , DDR4 RAM, 2.4 Ghz Processor,LED,15.6,Iris Xe,Intel,256 GB SSD Storage , 1024 GB HDD Storage,65,65W Adapter,ASUS Vivobook K513EA-L523TS Laptop,15.6,16,Windows 10,"the reason for 3 stars is due to that i have a rickety feeling when touching middle of the right side frame of the screen , it doesn ' t affect to screen , i am not sure it is faulty or normal , kind of uncomfortable to hold in tablet mode ."
34,Acer,Acer One 14 Z2-493 (UN.431SI.146) Laptop (14 Inch | AMD Dual Core Ryzen 3 | 8 GB | Windows 11 | 256 GB SSD)::597133::computer::laptops,28990,AMD Dual-Core Ryzen 3,AMD, 32 GB Expandable,8 GB , DDR4 RAM , 2.6 Ghz Processor,LCD,14,Radeon,AMD,256 GB SSD Storage,No HDD,65,65W Adapter,Acer One 14 Z2-493,14,8,Windows 11,it ' s a good system and has loads of space available for storage :
35,HP,HP 245 G8 (689T3PA) Laptop (14 Inch | AMD Dual Core Ryzen 3 | 8 GB | Windows 11 | 512 GB SSD)::599470::computer::laptops,26990,AMD Dual-Core Ryzen 3,AMD,Not Expandable,8 GB , DDR4 RAM, 2.6 Ghz Processor,LCD,14,Radeon,AMD,512 GB SSD Storage,No HDD,65, Upto 4 Hrs Battery Life,HP 245 G8,14,8,Windows 11,i loved the simplicity of chrome os while enjoying the flip aspect of being able to turn it into a reading tablet when i wanted to as well .
36,Dell,Dell Inspiron 15 3511 (D560656WIN9S) Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::596559::computer::laptops,39250,Intel Core i3 (11th Gen),Intel, 16 GB Expandable,8 GB , DDR4 RAM , 3.0 Ghz Processor,LCD,15.6,UHD,Intel,512 GB SSD Storage,No HDD,65, Upto 7 Hrs Battery Life,Dell Inspiron 15 3511,15.6,8,Windows 11,both forward and rear facing cameras would be nice too .
37,HP,HP 14s-dq3017TU (3Y0H4PA) Laptop (14 Inch | Celeron Dual Core | 8 GB | Windows 10 | 256 GB SSD)::585670::computer::laptops,27875,Intel Celeron Dual-Core,Intel,Not Expandable,8 GB , DDR4 RAM, 2.8 Ghz Processor,LED,14,UHD,Intel,256 GB SSD Storage,No HDD,no,Not Specified,HP 14s-dq3017TU,14,8,Windows 10,we purchased 6 of these chromebooks for our organization and they work very well .
38,ASUS,ASUS Notebook 12 BR1100CKA-GJ0722W Laptop (11.6 Inch | Intel Celeron Dual Core | 4 GB | Windows 11 | 128 GB SSD)::595686::computer::laptops,24999,Intel Celeron Dual-Core,Intel, 4 GB Expandable,4 GB , DDR4 RAM , 2.8 Ghz Processor,LCD,11.6,UHD,Intel,128 GB SSD Storage,No HDD,45,45W Adapter,ASUS Notebook 12 BR1100CKA-GJ0722W Laptop,11.6,4,Windows 11,update it as soon as you turn it on !
39,MSI,MSI GF63 Thin 11UC-867IN Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 10 | 512 GB SSD)::596474::computer::laptops,56990,Intel Core i5 (11th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 2.7 Ghz Processor,LCD,15.6,"GeForce RTX 3050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,65,65W Adapter,MSI GF63 Thin 11UC-867IN Laptop,15.6,8,Windows 10,i barely do anything on it and it is a complete garbage can of a laptop .
40,ASUS,ASUS TUF Gaming F15 FX506LH-HN258T Laptop (15.6 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 512 GB SSD)::585922::computer::laptops,51160,Intel Core i5 (10th Gen),Intel, 32 GB Expandable,8 GB , DDR4 RAM , 2.5 Ghz Processor,LED,15.6,"GeForce GTX 1650 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,150, Upto 6 Hrs Battery Life,ASUS TUF Gaming F15 FX506LH-HN258T Laptop,15.6,8,Windows 10,"the base model went up in price $ 400 , which excludes any performance benefits ."
41,Acer,Acer Aspire 3 A315-510P (NX.KDHSI.001) Laptop (15.6 Inch | Core i3 12th Gen | 8 GB | Windows 11 | 512 GB SSD)::600274::computer::laptops,35199,Intel Core i3 (12th Gen),Intel,Not Expandable,8 GB LP, LPDDR5 RAM, 3.4 Ghz Processor,LCD,15.6,UHD,Intel,512 GB SSD Storage,No HDD,45,45W Adapter,Acer Aspire 3 A315-510P,15.6,8,Windows 11,such a nice mac
42,Acer,Acer Extensa EX215-54 (NX.EGJSI.00T) Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::599599::computer::laptops,32990,Intel Core i3 (11th Gen),Intel, 12 GB Expandable,8 GB , DDR4 RAM , 1.7 Ghz Processor,LCD,15.6,UHD,Intel,512 GB SSD Storage,No HDD,45,45W Adapter,Acer Extensa EX215-54,15.6,8,Windows 11,#NAME?
43,Acer,Acer Extensa EX215-31 (UN.EFTSI.002) Laptop (15.6 Inch | Pentium Quad Core | 4 GB | Windows 10 | 256 GB SSD)::587119::computer::laptops,23999,Intel Pentium Quad-Core,Intel, 8 GB Expandable,4 GB , DDR4 RAM , 2.4 Ghz Processor,LED,15.6,UHD 605,Intel,256 GB SSD Storage,No HDD,45, Upto 6.5 Hrs Battery Life,Acer Extensa EX215-31,15.6,4,Windows 10,"it ' s far too early in this machine ' s life to be encountering problems , the company has very poor customer service , and i would strongly recommend against purchasing ."
44,ASUS,ASUS VivoBook 15 X1502VA-NJ542WS Laptop (15.6 Inch | Core i5 13th Gen | 16 GB | Windows 11 | 512 GB SSD)::614419::computer::laptops,64990,Intel Core i5 (13th Gen),Intel,Not Expandable,16 GB , DDR4 RAM, 2.6 Ghz Processor,LCD,15.6,Iris Xe,Intel,512 GB SSD Storage,No HDD,65, Upto 6 Hrs Battery Life,ASUS VivoBook 15 X1502VA-NJ542WS Laptop,15.6,16,Windows 11,mouse and wi - fi never functioned correctly .
45,Lenovo,Lenovo Ideapad Gaming 3 15ACH6 (82K201UMIN) Laptop (15.6 Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 11 | 512 GB SSD)::596546::computer::laptops,72990,AMD Octa-Core Ryzen 7,AMD, 16 GB Expandable,16 GB , DDR4 RAM , 3.3 Ghz Processor,LCD,15.6,"GeForce RTX 3050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,65, Upto 5 Hrs Battery Life,Lenovo Ideapad Gaming 3 15ACH6,15.6,16,Windows 11,#NAME?
46,ASUS,ASUS Zenbook 14X OLED Space Edition UX5401ZAS-KN901WS Laptop (14 Inch | Core i9 12th Gen | 32 GB | Windows 11 | 1 TB SSD)::595439::computer::laptops,169990,Intel Core i9 (12th Gen),Intel,Not Expandable,32 GB LP, LPDDR5 RAM, 2.5 Ghz Processor,LED,14,Iris Xe,Intel,1024 GB SSD Storage,No HDD,100, Upto 10 Hrs Battery Life,ASUS Zenbook 14X OLED Space Edition UX5401ZAS-KN901WS Laptop,14,32,Windows 11,this laptop performs in every way .
47,HP,HP 15s-du3564TU (5R7P5PA) Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::592927::computer::laptops,49999,Intel Core i3 (11th Gen) Processor,Intel,Not Expandable,8 GB , DDR4 RAM,0,LED,15.6,UHD,Intel,512 GB SSD Storage,No HDD,65,65W Adapter,HP 15s-du3564TU,15.6,8,Windows 11,"now there are pixels on the screen not working , and they are multiplying ."
48,HP,HP 14s-dy5005TU Laptop (14 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 512 GB SSD)::596974::computer::laptops,54990,Intel Core i5 (12th Gen),Intel, 16 GB Expandable,16 GB , DDR4 RAM , 4.2 Ghz Processor,LED,14,Iris Xe,Intel,512 GB SSD Storage,No HDD,65,65W Adapter,HP 14s-dy5005TU Laptop,14,16,Windows 11,"it sounded clean and simple , exactly what we need ."
49,ASUS,ASUS TUF Gaming A15 FA577RM-HF031WS Laptop (15.6 Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 11 | 1 TB SSD)::599806::computer::laptops,96990,AMD Octa-Core Ryzen 7,AMD, 32 GB Expandable,16 GB , DDR5 RAM , 4.7 Ghz Processor,LCD,15.6,"GeForce RTX 3060 GPU, 6 GB",NVIDIA,1024 GB SSD Storage,No HDD,90,90W Adapter,ASUS TUF Gaming A15 FA577RM-HF031WS Laptop,15.6,16,Windows 11,the keyboard and mouse on the asus were frequently rated as good but those on the pixelbook were raved about .
50,ASUS,ASUS VivoBook 14 X1400EA-EK322WS Laptop (14 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::611217::computer::laptops,36999,Intel Core i3 (11th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 4.0 Ghz Processor,LCD,14,UHD,Intel,512 GB SSD Storage,No HDD,45, Upto 6 Hrs Battery Life,ASUS VivoBook 14 X1400EA-EK322WS Laptop,14,8,Windows 11,i purchased mine in the gold color and its beautiful .
51,Dell,Dell G15-5525 (D560818WIN9B) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 16 GB | Windows 11 | 512 GB SSD)::596284::computer::laptops,89500,AMD Hexa-Core Ryzen 5,AMD,Not Expandable,16 GB , DDR5 RAM, 3.3 Ghz Processor,LCD,15.6,"GeForce RTX 3050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,65, Upto 7 Hrs Battery Life,Dell G15-5525,15.6,16,Windows 11,touchpad works well .
52,Samsung,Samsung Galaxy Book Pro Intel Evo 13.3 2 Pro 13.3 Laptop (13.3 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 512 GB SSD)::594518::computer::laptops,72990,Intel Core i5 (12th Gen),Intel,Not Expandable,16 GB LP, LPDDR5 RAM, 4.2 Ghz Processor,LED,13.3,Iris Xe,Intel,512 GB SSD Storage,No HDD,65, Upto 21 Hrs Battery Life,Samsung Galaxy Book Pro Intel Evo 13.3 2 Pro 13.3 Laptop,13.3,16,Windows 11,"powers up immediately , great battery life , great keyboard , amazing features ."
