S.No,Brand,Model_Name,Price (in Dollars),Processor_Specifications,Processor_Brand,RAM_Expandable (GB),RAM (GB),RAM_TYPE,Processor (Ghz),Display_Type,GPU,GPU_Brand,SSD Storage (GB),HDD Storage (GB),Adapter (Hz),Battery_Life,Screen_Size (inches),OS,Customer_Review,Battery_Life_Standardized
0,HP,HP Chromebook 11A-NA0002MU (2E4N0PA) Laptop (11.6 Inch | MediaTek Octa Core | 4 GB | Google Chrome |)::585119::computer::laptops,275.88,MediaTek Octa-core,MediaTek,0,4,DDR4,2.0,LED,Integrated Graphics,MediaTek,64,0,45, Upto 12 Hrs Battery Life,11.6,Chrome,"I Also Feel Like Apple Hides Too Much Under The Hood From The User , But I Suppose You Can Still Work Around That If You Are So Inclined .",12.0
21,Acer,Acer Aspire 3 A315-59 (NX.K6TSI.002) Laptop (15.6 Inch | Core i5 12th Gen | 8 GB | Windows 11 | 512 GB SSD)::597262::computer::laptops,443.88,Intel Core i5 (12th Gen),Intel,32,8,DDR4,3.3,LCD,Iris Xe,Intel,512,0,45,45W Adapter,15.6,Windows 11,The Key Board Is One Of The Best I ' Ve Ever Typed On .,1.4
22,Lenovo,Lenovo Ideapad 3 15ITL6 (82H801L7IN) Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::594573::computer::laptops,406.8,Intel Core i3 (11th Gen),Intel,12,8,DDR4,4.0,LCD,UHD,Intel,512,0,45, Upto 12 Hrs Battery Life,15.6,Windows 11,"Sadly After Barely A Year Old It Crashes All The Time , The Touch Screen Rarely Works , And The Track Pad Stops Working Until A Reboot On Occasion .",12.0
23,HP,HP 14s-fy1005AU (6Y6R8PA) Laptop (14 Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 11 | 512 GB SSD)::596972::computer::laptops,731.88,AMD Octa-Core Ryzen 7,AMD,0,16,DDR4,4.2,LCD,Radeon,AMD,512,0,65,65W Adapter,14,Windows 11,Chromebooks Are Light Weight And Start Up Immediately And Are Very Easy To Use .,1.0
24,Lenovo,Lenovo Ideapad Slim 3 15ITL6 (82H803LKIN) Laptop (15.6 Inch | Core i5 11th Gen | 16 GB | Windows 11 | 512 GB SSD)::615418::computer::laptops,491.88,Intel Core i5 (11th Gen),Intel,16,16,DDR4,2.5,LCD,Iris Xe,Intel,512,0,0,Upto 7 Hrs Battery Life,15.6,Windows 11,"Do Your Research , Learn How To Optimize Your Experience , And You ' Ll Love It !",7.0
25,Xiaomi,Xiaomi RedmiBook 15 e-Learning Edition Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 10 | 256 GB SSD)::587679::computer::laptops,377.88,Intel Core i3 (11th Gen),Intel,8,8,DDR4,3.0,LED,UHD,Intel,256,0,65, Upto 10 Hrs Battery Life,15.6,Windows 10,"Overall : I Like It And Am Happy For Paying A Bit Over $ 200 For The 4Gb Model ( At The Time Of Writing This , It Sells For $ 220 New ) .",10.0
26,Lenovo,Lenovo Ideapad Slim 5 14IMH9 (83DA0049IN) Laptop (14 Inch | Core Ultra 5 | 16 GB | Windows 11 | 1 TB SSD)::616284::computer::laptops,971.88,Intel Core Ultra 5,Intel,16,16,LPDDR5X,4.2,LED,Arc,Intel,1024,0,0,Upto 5 Hrs Battery Life,14,Windows 11,I ' M Giving This Five Stars Considering The Price .,5.0
27,Lenovo,Lenovo Ideapad Gaming 3 15IHU6 (82K101GSIN) Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::599086::computer::laptops,611.88,Intel Core i5 (11th Gen),Intel,0,8,DDR4,2.5,LCD,"GeForce GTX 1650 GPU, 4 GB",NVIDIA,512,0,135, Upto 8 Hrs Battery Life,15.6,Windows 11,Unfortunately This Chromebook Is Very Sluggish .,8.0
28,ASUS,ASUS TUF Gaming F17 FX706HF-HX018W Laptop (17.3 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::611247::computer::laptops,695.88,Intel Core i5 (11th Gen),Intel,32,8,DDR4,2.7,LCD,"GeForce RTX 2050 GPU, 4 GB",NVIDIA,512,0,150,150W Adapter,17.3,Windows 11,The Best Product .,0.4
29,HP,HP 14s- dq3032tu (637S3PA) Laptop (14 Inch | Celeron Dual Core | 8 GB | Windows 11 | 256 GB SSD)::594568::computer::laptops,305.38800000000003,Intel Celeron Dual-Core,Intel,0,8,DDR4,2.8,LCD,UHD,Intel,256,0,41, Upto 12 Hrs Battery Life,14,Windows 11,3 ) You Can Hear The Screen Creak .,12.0
30,HP,HP 15-fc0026AU (7L030PA) Laptop (15.6 Inch | AMD Quad Core Ryzen 3 | 8 GB | Windows 11 | 512 GB SSD)::611471::computer::laptops,443.88,AMD Quad-Core Ryzen 3,AMD,0,8,LPDDR5,2.4,LCD,Radeon,AMD,512,0,0,Not Specified,15.6,Windows 11,"Great Battery Life , A Matte Screen ( Non - Glossy ) Full Hd .",
31,Lenovo,Lenovo Ideapad 3 CB 11IGL05 (82BA001PHA) Laptop (11.6 Inch | Celeron Dual Core | 4 GB | Google Chrome | 64 GB SSD)::592198::computer::laptops,227.988,Intel Celeron Dual-Core,Intel,0,4,LPDDR4,2.8,LED,UHD,Intel,64,0,0,Upto 10 Hrs Battery Life,11.6,Chrome,"5 ` ` Ips Screen That Is Gorgeous To Look At , Extremely Bright And Full 1080P Resolution .",10.0
32,Acer,Acer Aspire 7 A715-42G (NH.QAYSI.004) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD)::596048::computer::laptops,587.88,AMD Hexa-Core Ryzen 5,AMD,32,8,DDR4,2.1,LCD,"GeForce GTX 1650 GPU, 4 GB",NVIDIA,512,0,135,135W Adapter,15.6,Windows 11,"Called Acer Support , They Were Completely Useless .",0.5
33,ASUS,ASUS Vivobook K513EA-L523TS Laptop (15.6 Inch | Core i5 11th Gen | 16 GB | Windows 10 | 1 TB HDD 256 GB SSD)::592298::computer::laptops,575.88,Intel Core i5 (11th Gen),Intel,0,16,DDR4,2.4,LED,Iris Xe,Intel,256,1024,65,65W Adapter,15.6,Windows 10,"The Reason For 3 Stars Is Due To That I Have A Rickety Feeling When Touching Middle Of The Right Side Frame Of The Screen , It Doesn ' T Affect To Screen , I Am Not Sure It Is Faulty Or Normal , Kind Of Uncomfortable To Hold In Tablet Mode .",1.0
34,Acer,Acer One 14 Z2-493 (UN.431SI.146) Laptop (14 Inch | AMD Dual Core Ryzen 3 | 8 GB | Windows 11 | 256 GB SSD)::597133::computer::laptops,347.88,AMD Dual-Core Ryzen 3,AMD,32,8,DDR4,2.6,LCD,Radeon,AMD,256,0,65,65W Adapter,14,Windows 11,It ' S A Good System And Has Loads Of Space Available For Storage :,1.0
35,HP,HP 245 G8 (689T3PA) Laptop (14 Inch | AMD Dual Core Ryzen 3 | 8 GB | Windows 11 | 512 GB SSD)::599470::computer::laptops,323.88,AMD Dual-Core Ryzen 3,AMD,0,8,DDR4,2.6,LCD,Radeon,AMD,512,0,65, Upto 4 Hrs Battery Life,14,Windows 11,I Loved The Simplicity Of Chrome Os While Enjoying The Flip Aspect Of Being Able To Turn It Into A Reading Tablet When I Wanted To As Well .,4.0
36,Dell,Dell Inspiron 15 3511 (D560656WIN9S) Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::596559::computer::laptops,471.0,Intel Core i3 (11th Gen),Intel,16,8,DDR4,3.0,LCD,UHD,Intel,512,0,65, Upto 7 Hrs Battery Life,15.6,Windows 11,Both Forward And Rear Facing Cameras Would Be Nice Too .,7.0
37,HP,HP 14s-dq3017TU (3Y0H4PA) Laptop (14 Inch | Celeron Dual Core | 8 GB | Windows 10 | 256 GB SSD)::585670::computer::laptops,334.5,Intel Celeron Dual-Core,Intel,0,8,DDR4,2.8,LED,UHD,Intel,256,0,0,Not Specified,14,Windows 10,We Purchased 6 Of These Chromebooks For Our Organization And They Work Very Well .,
38,ASUS,ASUS Notebook 12 BR1100CKA-GJ0722W Laptop (11.6 Inch | Intel Celeron Dual Core | 4 GB | Windows 11 | 128 GB SSD)::595686::computer::laptops,299.988,Intel Celeron Dual-Core,Intel,4,4,DDR4,2.8,LCD,UHD,Intel,128,0,45,45W Adapter,11.6,Windows 11,Update It As Soon As You Turn It On !,1.4
39,MSI,MSI GF63 Thin 11UC-867IN Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 10 | 512 GB SSD)::596474::computer::laptops,683.88,Intel Core i5 (11th Gen),Intel,0,8,DDR4,2.7,LCD,"GeForce RTX 3050 GPU, 4 GB",NVIDIA,512,0,65,65W Adapter,15.6,Windows 10,I Barely Do Anything On It And It Is A Complete Garbage Can Of A Laptop .,1.0
40,ASUS,ASUS TUF Gaming F15 FX506LH-HN258T Laptop (15.6 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 512 GB SSD)::585922::computer::laptops,613.92,Intel Core i5 (10th Gen),Intel,32,8,DDR4,2.5,LED,"GeForce GTX 1650 GPU, 4 GB",NVIDIA,512,0,150, Upto 6 Hrs Battery Life,15.6,Windows 10,"The Base Model Went Up In Price $ 400 , Which Excludes Any Performance Benefits .",6.0
41,Acer,Acer Aspire 3 A315-510P (NX.KDHSI.001) Laptop (15.6 Inch | Core i3 12th Gen | 8 GB | Windows 11 | 512 GB SSD)::600274::computer::laptops,422.38800000000003,Intel Core i3 (12th Gen),Intel,0,8,LPDDR5,3.4,LCD,UHD,Intel,512,0,45,45W Adapter,15.6,Windows 11,Such A Nice Mac,1.4
42,Acer,Acer Extensa EX215-54 (NX.EGJSI.00T) Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::599599::computer::laptops,395.88,Intel Core i3 (11th Gen),Intel,12,8,DDR4,1.7,LCD,UHD,Intel,512,0,45,45W Adapter,15.6,Windows 11,#Name?,1.4
43,Acer,Acer Extensa EX215-31 (UN.EFTSI.002) Laptop (15.6 Inch | Pentium Quad Core | 4 GB | Windows 10 | 256 GB SSD)::587119::computer::laptops,287.988,Intel Pentium Quad-Core,Intel,8,4,DDR4,2.4,LED,UHD 605,Intel,256,0,45, Upto 6.5 Hrs Battery Life,15.6,Windows 10,"It ' S Far Too Early In This Machine ' S Life To Be Encountering Problems , The Company Has Very Poor Customer Service , And I Would Strongly Recommend Against Purchasing .",6.5
44,ASUS,ASUS VivoBook 15 X1502VA-NJ542WS Laptop (15.6 Inch | Core i5 13th Gen | 16 GB | Windows 11 | 512 GB SSD)::614419::computer::laptops,779.88,Intel Core i5 (13th Gen),Intel,0,16,DDR4,2.6,LCD,Iris Xe,Intel,512,0,65, Upto 6 Hrs Battery Life,15.6,Windows 11,Mouse And Wi - Fi Never Functioned Correctly .,6.0
45,Lenovo,Lenovo Ideapad Gaming 3 15ACH6 (82K201UMIN) Laptop (15.6 Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 11 | 512 GB SSD)::596546::computer::laptops,875.88,AMD Octa-Core Ryzen 7,AMD,16,16,DDR4,3.3,LCD,"GeForce RTX 3050 GPU, 4 GB",NVIDIA,512,0,65, Upto 5 Hrs Battery Life,15.6,Windows 11,#Name?,5.0
46,ASUS,ASUS Zenbook 14X OLED Space Edition UX5401ZAS-KN901WS Laptop (14 Inch | Core i9 12th Gen | 32 GB | Windows 11 | 1 TB SSD)::595439::computer::laptops,2039.88,Intel Core i9 (12th Gen),Intel,0,32,LPDDR5,2.5,LED,Iris Xe,Intel,1024,0,100, Upto 10 Hrs Battery Life,14,Windows 11,This Laptop Performs In Every Way .,10.0
47,HP,HP 15s-du3564TU (5R7P5PA) Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::592927::computer::laptops,599.988,Intel Core i3 (11th Gen) Processor,Intel,0,8,DDR4,0.0,LED,UHD,Intel,512,0,65,65W Adapter,15.6,Windows 11,"Now There Are Pixels On The Screen Not Working , And They Are Multiplying .",1.0
48,HP,HP 14s-dy5005TU Laptop (14 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 512 GB SSD)::596974::computer::laptops,659.88,Intel Core i5 (12th Gen),Intel,16,16,DDR4,4.2,LED,Iris Xe,Intel,512,0,65,65W Adapter,14,Windows 11,"It Sounded Clean And Simple , Exactly What We Need .",1.0
49,ASUS,ASUS TUF Gaming A15 FA577RM-HF031WS Laptop (15.6 Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 11 | 1 TB SSD)::599806::computer::laptops,1163.88,AMD Octa-Core Ryzen 7,AMD,32,16,DDR5,4.7,LCD,"GeForce RTX 3060 GPU, 6 GB",NVIDIA,1024,0,90,90W Adapter,15.6,Windows 11,The Keyboard And Mouse On The Asus Were Frequently Rated As Good But Those On The Pixelbook Were Raved About .,0.7
50,ASUS,ASUS VivoBook 14 X1400EA-EK322WS Laptop (14 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::611217::computer::laptops,443.988,Intel Core i3 (11th Gen),Intel,0,8,DDR4,4.0,LCD,UHD,Intel,512,0,45, Upto 6 Hrs Battery Life,14,Windows 11,I Purchased Mine In The Gold Color And Its Beautiful .,6.0
51,Dell,Dell G15-5525 (D560818WIN9B) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 16 GB | Windows 11 | 512 GB SSD)::596284::computer::laptops,1074.0,AMD Hexa-Core Ryzen 5,AMD,0,16,DDR5,3.3,LCD,"GeForce RTX 3050 GPU, 4 GB",NVIDIA,512,0,65, Upto 7 Hrs Battery Life,15.6,Windows 11,Touchpad Works Well .,7.0
52,Samsung,Samsung Galaxy Book Pro Intel Evo 13.3 2 Pro 13.3 Laptop (13.3 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 512 GB SSD)::594518::computer::laptops,875.88,Intel Core i5 (12th Gen),Intel,0,16,LPDDR5,4.2,LED,Iris Xe,Intel,512,0,65, Upto 21 Hrs Battery Life,13.3,Windows 11,"Powers Up Immediately , Great Battery Life , Great Keyboard , Amazing Features .",21.0
53,Lenovo,Lenovo Ideapad 3 15ITL6 (82H801L3IN) Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 256 GB SSD)::593617::computer::laptops,419.88,Intel Core i3 (11th Gen) Processor,Intel,0,8,DDR4,0.0,LED,UHD,Intel,256,0,65,65W Adapter,15.6,Windows 11,"Secondly , This Is A Really Aesthetically Pleasing Machine .",1.0
54,Acer,Acer Predator Helios 300 PH315-54 (NH.QC2SI.00B) Laptop (15.6 Inch | Core i9 11th Gen | 16 GB | Windows 11 | 1 TB SSD)::595655::computer::laptops,1559.88,Intel Core i9 (11th Gen),Intel,32,16,DDR4,4.8,LCD,"GeForce RTX 3060 GPU, 6 GB",NVIDIA,1024,0,65, Upto 6 Hrs Battery Life,15.6,Windows 11,I Don ' T Like The Fact That The Battery Go Low Very Fast .,6.0
55,MSI,MSI GF63 Thin 10SCXR-1617IN Laptop (15.6 Inch | Core i7 10th Gen | 8 GB | Windows 10 | 1 TB HDD 256 GB SSD)::585932::computer::laptops,791.988,Intel Core i7 (10th Gen),Intel,0,8,DDR4,2.6,LED,"GeForce GTX 1650 Max Q GPU, 4 GB",NVIDIA,256,1024,120, Upto 4 Hrs Battery Life,15.6,Windows 10,"- I Was Worried That Because The Chromebooks Are Internet Based It Would Run Slow , But So Far It Is Very Fast At Processing , Installing , And Uploading Things .",4.0
56,Dell,Dell Inspiron 14 5410 (D560594WIN9S) Laptop (14 Inch | Core i5 11th Gen | 8 GB | Windows 10 | 512 GB SSD)::592486::computer::laptops,922.8000000000001,Intel Core i5 (11th Gen),Intel,16,8,DDR4,2.5,LED,Iris Xe,Intel,512,0,0,Upto 6 Hrs Battery Life,14,Windows 10,"This New Generation Macbook Has A Fast Processor , Great Retina Display , 13 Inch High Resolution Screen , Great Compatibility And Many More .",6.0
57,ASUS,ASUS TUF Gaming F15 FX506LHB-HN355WS Laptop (15.6 Inch | Core i5 10th Gen | 8 GB | Windows 11 | 512 GB SSD)::596520::computer::laptops,611.88,Intel Core i5 (10th Gen),Intel,32,8,DDR4,2.5,LCD,"GeForce GTX 1650 GPU, 4 GB",NVIDIA,512,0,150, Upto 14.7 Hrs Battery Life,15.6,Windows 11,"Ridiculous For Something So Expensive , Some Internet Research Shows Numerous People Having This Issue .",14.7
58,ASUS,ASUS TUF Gaming A15 FA577RE-HN055WS Laptop (15.6 Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 11 | 512 GB SSD)::596355::computer::laptops,1703.88,AMD Octa-Core Ryzen 7,AMD,32,16,DDR5,3.3,LCD,"GeForce RTX 3050 Ti GPU, 4 GB",NVIDIA,512,0,65,65W Adapter,15.6,Windows 11,"Very Good Build Quality , Except For The Keyboard Apparently , Sound Was Very Big , Very Fast Boot Times And So Much More .",1.0
59,ASUS,ASUS VivoBook 15 M515DA-BR322WS Laptop (15.6 Inch | AMD Dual Core Ryzen 3 | 8 GB | Windows 11 | 256 GB SSD)::595206::computer::laptops,719.988,AMD Dual-Core Ryzen 3,AMD,12,8,DDR4,3.4,LCD,Integrated,AMD,256,0,65, Upto 6 Hrs Battery Life,15.6,Windows 11,"If You Use Wix To Edit Websites The Scroll Bar Will Not Appear Once You Enter Editor Page , Thus Making It Impossible To Design / Build / Update Websites .",6.0
60,ASUS,ASUS VivoBook 15 X515JA-BQ322WS Laptop (15.6 Inch | Core i3 10th Gen | 8 GB | Windows 11 | 512 GB SSD)::596181::computer::laptops,395.88,Intel Core i3 (10th Gen),Intel,12,8,DDR4,1.2,LED,UHD,Intel,512,0,45,45W Adapter,15.6,Windows 11,I Typically Love Acers ( I Have A Regular Laptop ) But This Machine Has Been A Nightmare .,1.4
61,Infinix,Infinix Zero Book 13 ZL513 Laptop (15.6 Inch | Core i7 13th Gen | 16 GB | Windows 11 | 512 GB SSD)::612344::computer::laptops,599.88,Intel Core i7 (13th Gen),Intel,0,16,LPDDR5X,4.8,LCD,Iris Xe,Intel,512,0,96, Upto 13 Hrs Battery Life,15.6,Windows 11,"To Make Things Worse , I Currently Live Overseas And Am Highly Doubtful That Samsung Would Do Anything About This , Given That It Was Bought In The Us .",13.0
62,Lenovo,Lenovo Legion 5i (82AU00KLIN) Laptop (15.6 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 512 GB SSD)::582799::computer::laptops,642.42,Intel Core i5 (10th Gen),Intel,0,8,DDR4,2.5,LED,"Geforce GTX 1650 GPU, 4 GB",NVIDIA,512,0,0,Not Specified,15.6,Windows 10,This Keyboard Was Perfect - Not Cramped And Highly Responsive .,
